date,close
2021-11-10,6390
2021-11-11,6610
2021-11-12,6680
2021-11-15,7140
2021-11-16,7100
2021-11-17,7160
2021-11-18,7400
2021-11-19,7260
2021-11-22,6760
2021-11-23,6840
2021-11-24,6790
2021-11-25,7000
2021-11-26,6850
2021-11-29,6940
2021-11-30,6930
2021-12-01,7410
2021-12-02,7540
2021-12-03,8060
2021-12-06,8300
2021-12-07,8490
2021-12-08,8060
2021-12-09,8280
2021-12-10,8320
2021-12-13,8900
2021-12-14,9400
2021-12-15,10050
2021-12-16,10750
2021-12-17,10600
2021-12-20,11300
2021-12-21,12050
2021-12-22,12850
2021-12-23,13200
2021-12-24,12400
2021-12-27,13250
2021-12-28,14150
2021-12-29,14300
2021-12-30,13500
2021-12-31,13600
2022-01-04,13950
2022-01-05,14900
2022-01-06,15200
2022-01-07,16000
2022-01-10,14900
2022-01-11,13900
2022-01-12,12950
2022-01-13,12050
2022-01-14,11250
2022-01-17,10500
2022-01-18,9770
2022-01-19,9090
2022-01-20,8460
2022-01-21,9050
2022-01-24,8420
2022-01-25,7840
2022-01-26,7300
2022-01-27,6790
2022-01-28,7090
2022-02-07,7580
2022-02-08,7790
2022-02-09,7790
2022-02-10,7820
2022-02-11,7740
2022-02-14,7450
2022-02-15,7460
2022-02-16,7980
2022-02-17,8170
2022-02-18,8290
2022-02-21,8800
2022-02-22,8600
2022-02-23,8600
2022-02-24,8100
2022-02-25,8250
2022-02-28,8200
2022-03-01,8360
2022-03-02,8210
2022-03-03,8300
2022-03-04,8300
2022-03-07,8630
2022-03-08,8380
2022-03-09,8310
2022-03-10,8300
2022-03-11,8250
2022-03-14,7900
2022-03-15,7980
2022-03-16,8210
2022-03-17,8530
